filename,clean_width_mm,clean_class,blurred_width_mm,blurred_class,restored_width_mm,restored_class
00264,3.394112549695428,Heavy Crack,3.7735924528226414,Heavy Crack,3.3105890714493698,Heavy Crack
00265,3.3105890714493698,Heavy Crack,5.656854249492381,Heavy Crack,2.4083189157584592,Heavy Crack
00266,3.984971769034255,Heavy Crack,4.741307836451879,Heavy Crack,3.736308338453881,Heavy Crack
00267,2.8284271247461903,Heavy Crack,3.560898762952972,Heavy Crack,2.23606797749979,Heavy Crack
00268,4.204759208325728,Heavy Crack,5.0,Heavy Crack,4.044749683231337,Heavy Crack
00269,4.720169488482379,Heavy Crack,12.214745187681977,Heavy Crack,2.4083189157584592,Heavy Crack
00270,4.17612260356422,Heavy Crack,15.926079241294765,Heavy Crack,3.2984845004941286,Heavy Crack
00271,6.4031242374328485,Heavy Crack,18.601075237738275,Heavy Crack,3.6715119501371642,Heavy Crack
00272,7.244308110509934,Heavy Crack,13.695254652615994,Heavy Crack,2.668332812825267,Heavy Crack
00273,7.696752561957543,Heavy Crack,20.801922988031663,Heavy Crack,2.668332812825267,Heavy Crack
00274,10.62826420446914,Heavy Crack,17.560182231400674,Heavy Crack,2.6,Heavy Crack
